,Parent_id,Entered on,Exited on,Time spent
77,AOS-4443,2023-10-25T08:43:19Z,2023-10-25T09:05:35Z,1336
78,AOS-4444,2023-10-25T11:10:27Z,2023-10-25T11:10:48Z,20
79,AOS-4445,2023-10-25T11:13:08Z,2023-10-25T11:14:00Z,51
80,AOS-4446,2023-10-25T11:30:08Z,2023-10-25T11:30:34Z,26
81,AOS-4447,2023-10-25T11:42:44Z,2023-10-25T11:43:58Z,73
82,AOS-4448,2023-10-25T14:12:15Z,2023-10-25T15:59:59Z,6463
83,AOS-4449,2023-10-25T16:33:36Z,2023-10-25T16:34:15Z,38
84,AOS-4452,2023-10-26T04:31:48Z,2023-10-26T04:50:57Z,1149
85,AOS-4454,2023-10-26T05:01:27Z,2023-10-26T06:38:03Z,5796
86,AOS-4455,2023-10-26T05:07:46Z,2023-10-26T05:43:23Z,2137
87,AOS-4456,2023-10-26T05:37:14Z,2023-10-26T05:38:36Z,81
88,AOS-4457,2023-10-26T05:44:40Z,2023-10-26T05:45:04Z,24
89,AOS-4458,2023-10-26T06:55:19Z,2023-10-26T06:58:41Z,202
90,AOS-4459,2023-10-26T07:30:35Z,2023-10-26T07:30:59Z,24
91,AOS-4460,2023-10-26T09:00:23Z,2023-10-26T09:00:28Z,5
92,AOS-4461,2023-10-26T10:33:14Z,2023-10-26T10:37:03Z,229
93,AOS-4462,2023-10-26T11:26:13Z,2023-10-26T11:26:48Z,34
94,AOS-4463,2023-10-26T12:55:49Z,2023-10-26T12:55:55Z,6
95,AOS-4464,2023-10-26T13:21:43Z,2023-10-26T14:00:32Z,2328
96,AOS-4465,2023-10-26T14:30:18Z,2023-10-26T14:31:10Z,52
97,AOS-4466,2023-10-26T15:06:37Z,2023-10-26T15:09:53Z,195
98,AOS-4467,2023-10-27T04:56:08Z,2023-10-27T04:57:36Z,87
99,AOS-4468,2023-10-27T06:17:13Z,2023-10-27T07:00:33Z,2599
100,AOS-4469,2023-10-27T06:50:41Z,2023-10-27T06:51:42Z,61
101,AOS-4470,2023-10-27T06:54:51Z,2023-10-27T06:55:15Z,24
102,AOS-4471,2023-10-27T06:56:59Z,2023-10-27T07:00:12Z,193
103,AOS-4472,2023-10-27T10:33:23Z,2023-10-27T10:48:50Z,927
104,AOS-4473,2023-10-27T13:09:08Z,2023-10-27T13:09:39Z,30
